  0.1000000E+01  0.1100000E+01  0.1200000E+01  0.1300000E+01  0.1400000E+01
  0.1500000E+01  0.1600000E+01  0.1700000E+01  0.1800000E+01  0.1900000E+01
  0.2000000E+01  0.2100000E+01  0.2200000E+01  0.2300000E+01  0.2400000E+01
  0.2500000E+01  0.2600000E+01  0.2700000E+01  0.2800000E+01  0.2900000E+01
  0.3000000E+01  0.3100000E+01  0.3200000E+01  0.3300000E+01  0.3400000E+01
  0.3500000E+01  0.3600000E+01  0.3700000E+01  0.3800000E+01  0.3900000E+01
  0.4000000E+01  0.4100000E+01  0.4200000E+01  0.4300000E+01  0.4400000E+01
  0.4500000E+01  0.4600000E+01  0.4700000E+01  0.4800000E+01  0.4900000E+01
  0.5000000E+01  0.5100000E+01  0.5200000E+01  0.5300000E+01  0.5400000E+01
  0.5500000E+01  0.5600000E+01  0.5700000E+01  0.5800000E+01  0.5900000E+01
  0.6000000E+01  0.6100000E+01  0.6200000E+01  0.6300000E+01  0.6400000E+01
  0.6500000E+01  0.6600000E+01  0.6700000E+01  0.6800000E+01  0.6900000E+01
  0.7000000E+01 -0.1000000E+00 -0.2000000E+00 -0.3000000E+00 -0.4000000E+00
 -0.5000000E+00 -0.6000000E+00 -0.7000000E+00 -0.8000000E+00 -0.9000000E+00
 -0.1000000E+01 -0.1100000E+01 -0.1200000E+01 -0.1300000E+01 -0.1400000E+01
 -0.1500000E+01 -0.1600000E+01 -0.1700000E+01 -0.1800000E+01 -0.1900000E+01
 -0.2000000E+01 -0.2100000E+01 -0.2200000E+01 -0.2300000E+01 -0.2400000E+01
 -0.2500000E+01 -0.2600000E+01 -0.2700000E+01 -0.2800000E+01 -0.2900000E+01
 -0.3000000E+01  0.3000000E+00  0.2000000E+00  0.1000000E+00  0.0000000E+00
 -0.1000000E+00 -0.2000000E+00 -0.3000000E+00 -0.4000000E+00 -0.5000000E+00
 -0.6000000E+00 -0.7000000E+00 -0.8000000E+00 -0.9000000E+00 -0.1000000E+01
 -0.1100000E+01 -0.1200000E+01 -0.1300000E+01 -0.1400000E+01 -0.1500000E+01
 -0.1600000E+01 -0.1700000E+01 -0.1800000E+01 -0.1900000E+01 -0.2000000E+01
 -0.2100000E+01 -0.2200000E+01 -0.2300000E+01 -0.2400000E+01 -0.2500000E+01
 -0.2600000E+01 -0.2700000E+01 -0.2800000E+01 -0.2900000E+01 -0.3000000E+01
 -0.3100000E+01 -0.3200000E+01 -0.3300000E+01 -0.3400000E+01 -0.3500000E+01
 -0.3600000E+01 -0.3700000E+01 -0.3800000E+01 -0.3900000E+01 -0.4000000E+01
 -0.4100000E+01 -0.4200000E+01 -0.4300000E+01 -0.4400000E+01 -0.4500000E+01
 -0.4600000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.8054482E-01  0.3295765E+00
  0.5376120E+00  0.6917011E+00  0.7986657E+00  0.8701993E+00  0.9169855E+00
  0.9471736E+00  0.9664897E+00  0.9787849E+00  0.9865856E+00  0.9915247E+00
  0.9946479E+00  0.9966213E+00  0.9978675E+00  0.9986542E+00  0.9991507E+00
  0.9994641E+00  0.9996619E+00  0.9997866E+00  0.9998654E+00  0.9999151E+00
  0.9999464E+00  0.9999662E+00  0.9999787E+00  0.9999865E+00  0.9999915E+00
  0.9999946E+00  0.9999966E+00  0.9999979E+00  0.9999986E+00  0.9999992E+00
  0.9999995E+00  0.9999996E+00  0.9999998E+00  0.9999999E+00  0.9999999E+00
  0.1000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3127308E-01  0.1533741E+00
  0.3303722E+00  0.5087052E+00  0.6579311E+00  0.7700384E+00  0.8489084E+00
  0.9021834E+00  0.9372679E+00  0.9600087E+00  0.9746023E+00  0.9839091E+00
  0.9898210E+00  0.9935669E+00  0.9959368E+00  0.9974346E+00  0.9983807E+00
  0.9989780E+00  0.9993551E+00  0.9995930E+00  0.9997432E+00  0.9998380E+00
  0.9998978E+00  0.9999355E+00  0.9999593E+00  0.9999743E+00  0.9999838E+00
  0.9999897E+00  0.9999936E+00  0.9999959E+00  0.9999974E+00  0.9999984E+00
  0.9999990E+00  0.9999993E+00  0.9999996E+00  0.9999998E+00  0.9999998E+00
  0.9999999E+00  0.9999999E+00  0.9999999E+00  0.1000000E+01  0.1000000E+01
  0.1000000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.8494160E-04  0.2766704E-01
  0.1261863E+00  0.2777473E+00  0.4448614E+00  0.5975576E+00  0.7209154E+00
  0.8125305E+00  0.8767964E+00  0.9202011E+00  0.9488019E+00  0.9673514E+00
  0.9792611E+00  0.9868588E+00  0.9916862E+00  0.9947454E+00  0.9966810E+00
