  0.562509E-08  0.591583E-08  0.621570E-08  0.652467E-08  0.684275E-08
  0.716990E-08  0.750611E-08  0.785136E-08  0.820563E-08  0.856891E-08
  0.894118E-08  0.932242E-08  0.971263E-08  0.101118E-07  0.105199E-07
  0.109369E-07  0.113629E-07  0.117977E-07  0.122415E-07  0.126941E-07
  0.131557E-07  0.136260E-07  0.141053E-07  0.145933E-07  0.150902E-07
  0.155958E-07  0.161103E-07  0.166334E-07  0.171653E-07  0.177058E-07
  0.182549E-07  0.188125E-07  0.193786E-07  0.199530E-07  0.205356E-07
  0.211264E-07  0.217251E-07  0.223315E-07  0.229456E-07  0.235669E-07
  0.241953E-07  0.248306E-07  0.254724E-07  0.261204E-07  0.267743E-07
  0.274339E-07  0.280988E-07  0.287686E-07  0.294432E-07  0.301221E-07
  0.308052E-07  0.314921E-07  0.321826E-07  0.328763E-07  0.335731E-07
  0.342728E-07  0.349750E-07  0.356797E-07  0.363865E-07  0.370954E-07

  0.000000E+00  0.815902E-10  0.499582E-09  0.873514E-09  0.982587E-09
  0.105595E-08  0.110805E-08  0.111530E-08  0.112844E-08  0.114152E-08
  0.115266E-08  0.117339E-08  0.120399E-08  0.124433E-08  0.128873E-08
  0.134922E-08  0.141430E-08  0.149248E-08  0.157627E-08  0.167407E-08
  0.178045E-08  0.189617E-08  0.202243E-08  0.215933E-08  0.230603E-08
  0.246213E-08  0.262794E-08  0.280378E-08  0.298944E-08  0.318477E-08
  0.338966E-08  0.360447E-08  0.382867E-08  0.406239E-08  0.430554E-08
  0.455812E-08  0.482005E-08  0.509133E-08  0.537189E-08  0.566172E-08
  0.596074E-08  0.626897E-08  0.658638E-08  0.691292E-08  0.724856E-08
  0.759329E-08  0.794710E-08  0.830995E-08  0.868182E-08  0.906272E-08
  0.945261E-08  0.985148E-08  0.102593E-07  0.106761E-07  0.111018E-07
  0.115365E-07  0.119801E-07  0.124326E-07  0.128939E-07  0.133642E-07
  0.138433E-07  0.143312E-07  0.148280E-07  0.153336E-07  0.158479E-07
  0.163710E-07  0.169028E-07  0.174432E-07  0.179922E-07  0.185498E-07
  0.191158E-07  0.196902E-07  0.202728E-07  0.208636E-07  0.214622E-07
  0.220687E-07  0.226827E-07  0.233040E-07  0.239324E-07  0.245676E-07
  0.252094E-07  0.258574E-07  0.265113E-07  0.271709E-07  0.278357E-07
  0.285056E-07  0.291801E-07  0.298591E-07  0.305422E-07  0.312290E-07
  0.319195E-07  0.326133E-07  0.333101E-07  0.340097E-07  0.347120E-07
  0.354166E-07  0.361235E-07  0.368323E-07  0.375431E-07  0.382555E-07

  0.000000E+00  0.729179E-10  0.180735E-09  0.275079E-09  0.354708E-09
  0.386504E-09  0.411083E-09  0.452790E-09  0.481376E-09  0.503331E-09
  0.523967E-09  0.561047E-09  0.602524E-09  0.643346E-09  0.701498E-09
  0.773194E-09  0.849823E-09  0.942635E-09  0.104565E-08  0.115730E-08
  0.128017E-08  0.141206E-08  0.155386E-08  0.170667E-08  0.186980E-08
  0.204281E-08  0.222583E-08  0.241851E-08  0.262119E-08  0.283361E-08
  0.305577E-08  0.328757E-08  0.352901E-08  0.378003E-08  0.404056E-08
  0.431050E-08  0.458984E-08  0.487855E-08  0.517656E-08  0.548385E-08
  0.580040E-08  0.612614E-08  0.646108E-08  0.680517E-08  0.715838E-08
  0.752069E-08  0.789209E-08  0.827253E-08  0.866202E-08  0.906052E-08
  0.946803E-08  0.988451E-08  0.103100E-07  0.107444E-07  0.111877E-07
  0.116400E-07  0.121012E-07  0.125713E-07  0.130502E-07  0.135380E-07
  0.140347E-07  0.145401E-07  0.150544E-07  0.155774E-07  0.161091E-07
  0.166494E-07  0.171984E-07  0.177559E-07  0.183219E-07  0.188962E-07
  0.194788E-07  0.200695E-07  0.206681E-07  0.212745E-07  0.218885E-07
  0.225098E-07  0.231382E-07  0.237734E-07  0.244151E-07  0.250631E-07
  0.257170E-07  0.263765E-07  0.270414E-07  0.277112E-07  0.283858E-07
  0.290647E-07  0.297478E-07  0.304346E-07  0.311251E-07  0.318188E-07
  0.325157E-07  0.332153E-07  0.339175E-07  0.346222E-07  0.353290E-07
  0.360379E-07  0.367486E-07  0.374610E-07  0.381750E-07  0.388903E-07

  0.000000E+00  0.385316E-10  0.286387E-09  0.342822E-09  0.375005E-09
  0.401230E-09  0.409947E-09  0.436666E-09  0.468457E-09  0.490627E-09
  0.527848E-09  0.572486E-09  0.622526E-09  0.687818E-09  0.765868E-09
  0.849903E-09  0.945766E-09  0.105342E-08  0.117019E-08  0.129740E-08
  0.143480E-08  0.158270E-08  0.174163E-08  0.191082E-08  0.209039E-08
  0.228031E-08  0.247980E-08  0.268950E-08  0.290906E-08  0.313860E-08
  0.337788E-08  0.362691E-08  0.388557E-08  0.415380E-08  0.443157E-08
  0.471885E-08  0.501558E-08  0.532168E-08  0.563716E-08  0.596193E-08
  0.629597E-08  0.663923E-08  0.699170E-08  0.735334E-08  0.772411E-08
  0.810400E-08  0.849298E-08  0.889102E-08  0.929811E-08  0.971422E-08
  0.101393E-07  0.105734E-07  0.110165E-07  0.114685E-07  0.119295E-07
  0.123993E-07  0.128781E-07  0.133657E-07  0.138622E-07  0.143675E-07
  0.148816E-07  0.154045E-07  0.159361E-07  0.164764E-07  0.170253E-07
  0.175827E-07  0.181486E-07  0.187229E-07  0.193054E-07  0.198960E-07
  0.204946E-07  0.211009E-07  0.217149E-07  0.223361E-07  0.229645E-07
  0.235997E-07  0.242414E-07  0.248894E-07  0.255433E-07  0.262028E-07
  0.268676E-07  0.275374E-07  0.282120E-07  0.288909E-07  0.295739E-07
  0.302608E-07  0.309512E-07  0.316450E-07  0.323418E-07  0.330414E-07
  0.337437E-07  0.344483E-07  0.351552E-07  0.358640E-07  0.365747E-07
  0.372871E-07  0.380011E-07  0.387165E-07  0.394331E-07  0.401509E-07

  0.000000E+00  0.130212E-09  0.193085E-09  0.279637E-09  0.294548E-09
  0.300215E-09  0.320553E-09  0.339340E-09  0.373340E-09  0.403945E-09
  0.451848E-09  0.510686E-09  0.578978E-09  0.655648E-09  0.745046E-09
  0.843633E-09  0.954467E-09  0.107547E-08  0.120737E-08  0.135046E-08
  0.150456E-08  0.166919E-08  0.184464E-08  0.203037E-08  0.222635E-08
  0.243270E-08  0.264917E-08  0.287572E-08  0.311225E-08  0.335881E-08
  0.361518E-08  0.388136E-08  0.415728E-08  0.444280E-08  0.473794E-08
  0.504259E-08  0.535671E-08  0.568026E-08  0.601319E-08  0.635545E-08
  0.670698E-08  0.706777E-08  0.743778E-08  0.781697E-08  0.820531E-08
  0.860277E-08  0.900933E-08  0.942496E-08  0.984964E-08  0.102833E-07
  0.107261E-07  0.111777E-07  0.116384E-07  0.121080E-07  0.125865E-07
  0.130739E-07  0.135702E-07  0.140754E-07  0.145893E-07  0.151120E-07
  0.156435E-07  0.161836E-07  0.167324E-07  0.172898E-07  0.178556E-07
  0.184298E-07  0.190122E-07  0.196028E-07  0.202013E-07  0.208076E-07
  0.214215E-07  0.220427E-07  0.226710E-07  0.233062E-07  0.239479E-07
  0.245958E-07  0.252497E-07  0.259092E-07  0.265740E-07  0.272438E-07
  0.279183E-07  0.285972E-07  0.292803E-07  0.299671E-07  0.306575E-07
  0.313513E-07  0.320481E-07  0.327477E-07  0.334499E-07  0.341546E-07
  0.348614E-07  0.355703E-07  0.362810E-07  0.369934E-07  0.377073E-07
  0.384227E-07  0.391393E-07  0.398571E-07  0.405760E-07  0.412958E-07

  0.000000E+00  0.113780E-10  0.263625E-10  0.342242E-10  0.508793E-10
  0.589404E-10  0.687498E-10  0.921460E-10  0.127687E-09  0.170431E-09
  0.231051E-09  0.297801E-09  0.376318E-09  0.468707E-09  0.572614E-09
  0.686942E-09  0.812813E-09  0.950021E-09  0.109829E-08  0.125711E-08
  0.142726E-08  0.160790E-08  0.179946E-08  0.200145E-08  0.221416E-08
  0.243713E-08  0.267035E-08  0.291387E-08  0.316747E-08  0.343107E-08
  0.370458E-08  0.398789E-08  0.428100E-08  0.458382E-08  0.489627E-08
  0.521829E-08  0.554981E-08  0.589078E-08  0.624115E-08  0.660088E-08
  0.696991E-08  0.734822E-08  0.773576E-08  0.813249E-08  0.853838E-08
  0.895341E-08  0.937755E-08  0.981075E-08  0.102530E-07  0.107043E-07
  0.111646E-07  0.116338E-07  0.121121E-07  0.125992E-07  0.130952E-07
  0.136002E-07  0.141139E-07  0.146364E-07  0.151677E-07  0.157077E-07
  0.162564E-07  0.168136E-07  0.173793E-07  0.179534E-07  0.185357E-07
  0.191262E-07  0.197247E-07  0.203309E-07  0.209448E-07  0.215659E-07
  0.221942E-07  0.228293E-07  0.234710E-07  0.241189E-07  0.247727E-07
  0.254322E-07  0.260969E-07  0.267667E-07  0.274412E-07  0.281201E-07
  0.288031E-07  0.294900E-07  0.301804E-07  0.308741E-07  0.315709E-07
  0.322705E-07  0.329728E-07  0.336774E-07  0.343842E-07  0.350931E-07
  0.358038E-07  0.365162E-07  0.372301E-07  0.379455E-07  0.386621E-07
  0.393799E-07  0.400988E-07  0.408186E-07  0.415393E-07  0.422608E-07

  0.000000E+00  0.196737E-10  0.447118E-10  0.624436E-10  0.809238E-10
  0.108693E-09  0.124567E-09  0.158905E-09  0.204175E-09  0.265752E-09
  0.337236E-09  0.421946E-09  0.516247E-09  0.622048E-09  0.740929E-09
  0.870362E-09  0.101129E-08  0.116379E-08  0.132715E-08  0.150195E-08
  0.168783E-08  0.188465E-08  0.209254E-08  0.231098E-08  0.254010E-08
  0.277974E-08  0.302978E-08  0.329010E-08  0.356063E-08  0.384123E-08
  0.413185E-08  0.443238E-08  0.474272E-08  0.506281E-08  0.539257E-08
  0.573193E-08  0.608084E-08  0.643923E-08  0.680706E-08  0.718426E-08
  0.757079E-08  0.796660E-08  0.837167E-08  0.878594E-08  0.920939E-08
  0.964197E-08  0.100837E-07  0.105344E-07  0.109943E-07  0.114631E-07
  0.119409E-07  0.124277E-07  0.129235E-07  0.134281E-07  0.139416E-07
  0.144639E-07  0.149950E-07  0.155348E-07  0.160833E-07  0.166403E-07
  0.172059E-07  0.177798E-07  0.183621E-07  0.189525E-07  0.195508E-07
  0.201570E-07  0.207707E-07  0.213919E-07  0.220201E-07  0.226551E-07
  0.232967E-07  0.239446E-07  0.245984E-07  0.252578E-07  0.259226E-07
  0.265923E-07  0.272668E-07  0.279457E-07  0.286287E-07  0.293155E-07
  0.300059E-07  0.306996E-07  0.313964E-07  0.320960E-07  0.327982E-07
  0.335028E-07  0.342097E-07  0.349185E-07  0.356292E-07  0.363416E-07
  0.370555E-07  0.377709E-07  0.384875E-07  0.392053E-07  0.399242E-07
  0.406440E-07  0.413647E-07  0.420862E-07  0.428083E-07  0.435312E-07

  0.000000E+00  0.336006E-10  0.508453E-10  0.612489E-10  0.698134E-10
  0.942421E-10  0.130345E-09  0.177728E-09  0.236182E-09  0.311027E-09
  0.396189E-09  0.493956E-09  0.602294E-09  0.723178E-09  0.856057E-09
  0.100047E-08  0.115647E-08  0.132432E-08  0.150361E-08  0.169430E-08
  0.189631E-08  0.210940E-08  0.233353E-08  0.256843E-08  0.281411E-08
  0.307044E-08  0.333727E-08  0.361450E-08  0.390199E-08  0.419965E-08
  0.450737E-08  0.482505E-08  0.515262E-08  0.548997E-08  0.583706E-08
  0.619378E-08  0.656008E-08  0.693589E-08  0.732116E-08  0.771583E-08
  0.811985E-08  0.853317E-08  0.895575E-08  0.938755E-08  0.982854E-08
  0.102787E-07  0.107379E-07  0.112062E-07  0.116836E-07  0.121699E-07
  0.126653E-07  0.131695E-07  0.136827E-07  0.142047E-07  0.147355E-07
  0.152751E-07  0.158234E-07  0.163802E-07  0.169456E-07  0.175194E-07
  0.181015E-07  0.186918E-07  0.192900E-07  0.198961E-07  0.205098E-07
  0.211308E-07  0.217589E-07  0.223939E-07  0.230355E-07  0.236833E-07
  0.243370E-07  0.249964E-07  0.256611E-07  0.263308E-07  0.270053E-07
  0.276841E-07  0.283671E-07  0.290539E-07  0.297443E-07  0.304380E-07
  0.311347E-07  0.318343E-07  0.325365E-07  0.332411E-07  0.339479E-07
  0.346568E-07  0.353675E-07  0.360799E-07  0.367938E-07  0.375091E-07
